image1,image2,similarity
glasses_2,glasses_1,462.62295662883
glasses_3,glasses_1,923.008667348254
glasses_3,glasses_2,642.368274434533
glasses_4,glasses_1,496.190487615392
glasses_4,glasses_2,205.0
glasses_4,glasses_3,465.24402199276
glasses_5,glasses_1,563.23796036844
glasses_5,glasses_2,598.772911878953
glasses_5,glasses_3,523.239906734951
glasses_5,glasses_4,420.837260707747
glasses_6,glasses_1,181.868084060948
glasses_6,glasses_2,528.923434912843
glasses_6,glasses_3,850.160573068406
glasses_6,glasses_4,488.001024589088
glasses_6,glasses_5,416.990407563531
glasses_7,glasses_1,509.823498869952
glasses_7,glasses_2,252.0714184512
glasses_7,glasses_3,432.019675477865
glasses_7,glasses_4,47.3814309619285
glasses_7,glasses_5,380.017104878188
glasses_7,glasses_6,484.38414507496
glasses_8,glasses_1,750.82088409953
glasses_8,glasses_2,356.393041458444
glasses_8,glasses_3,331.603679111074
glasses_8,glasses_4,257.955422505517
glasses_8,glasses_5,582.261968533065
glasses_8,glasses_6,743.424508608641
glasses_8,glasses_7,260.007692193904
glasses_9,glasses_1,187.779125570442
glasses_9,glasses_2,551.515185647685
glasses_9,glasses_3,871.304768723321
glasses_9,glasses_4,512.0
glasses_9,glasses_5,430.460218835609
glasses_9,glasses_6,24.0208242989286
glasses_9,glasses_7,508.178118379767
glasses_9,glasses_8,767.320663086822
glasses_10,glasses_1,740.462693185822
glasses_10,glasses_2,327.9649371503
glasses_10,glasses_3,376.430604494374
glasses_10,glasses_4,256.0
glasses_10,glasses_5,607.960525034315
glasses_10,glasses_6,744.000672042707
glasses_10,glasses_7,266.182268380146
glasses_10,glasses_8,45.0444225182208
glasses_10,glasses_9,768.0
glasses_11,glasses_1,55.4616984954482
glasses_11,glasses_2,512.0
glasses_11,glasses_3,977.423654307588
glasses_11,glasses_4,551.515185647685
glasses_11,glasses_5,605.574933431033
glasses_11,glasses_6,205.406913223484
glasses_11,glasses_7,565.278692327953
glasses_11,glasses_8,805.764233507544
glasses_11,glasses_9,205.0
glasses_11,glasses_10,794.88930046894
glasses_12,glasses_1,624.928795943986
glasses_12,glasses_2,665.230787020565
glasses_12,glasses_3,531.026364693882
glasses_12,glasses_4,482.511139767778
glasses_12,glasses_5,69.462219947249
glasses_12,glasses_6,471.088102163491
glasses_12,glasses_7,439.936359033895
glasses_12,glasses_8,626.574815963744
glasses_12,glasses_9,482.511139767778
glasses_12,glasses_10,655.305272373113
glasses_12,glasses_11,665.230787020565
glasses_13,glasses_1,274.220714024306
glasses_13,glasses_2,327.9649371503
glasses_13,glasses_3,649.82766946322
glasses_13,glasses_4,256.0
glasses_13,glasses_5,340.094104624
glasses_13,glasses_6,232.002155162404
glasses_13,glasses_7,254.379637549864
glasses_13,glasses_8,511.98144497628
glasses_13,glasses_9,256.0
glasses_13,glasses_10,512.0
glasses_13,glasses_11,327.9649371503
glasses_13,glasses_12,409.0
glasses_14,glasses_1,941.281041984805
glasses_14,glasses_2,673.089889984986
glasses_14,glasses_3,36.3455636907725
glasses_14,glasses_4,492.041664902476
glasses_14,glasses_5,521.989463495194
glasses_14,glasses_6,862.332882360403
glasses_14,glasses_7,457.001094090594
glasses_14,glasses_8,367.30641159664
glasses_14,glasses_9,883.00905997617
glasses_14,glasses_10,412.205046063243
glasses_14,glasses_11,995.314020799466
glasses_14,glasses_12,525.008571358602
glasses_14,glasses_13,667.359723087931
glasses_15,glasses_1,316.622803979751
glasses_15,glasses_2,302.671439022581
glasses_15,glasses_3,606.400032981529
glasses_15,glasses_4,211.340956749987
glasses_15,glasses_5,330.080293262109
glasses_15,glasses_6,277.304886361564
glasses_15,glasses_7,207.966343430854
glasses_15,glasses_8,466.169497071612
glasses_15,glasses_9,301.2391076869
glasses_15,glasses_10,467.154150147465
glasses_15,glasses_11,371.06603185956
glasses_15,glasses_12,399.542238067516
glasses_15,glasses_13,46.5725240887801
glasses_15,glasses_14,624.819974072532
glasses_16,glasses_1,460.108682813094
glasses_16,glasses_2,20.3960780543711
glasses_16,glasses_3,662.181999151291
glasses_16,glasses_4,225.035552746672
glasses_16,glasses_5,615.435618078772
glasses_16,glasses_6,533.32166653906
glasses_16,glasses_7,272.007352841794
glasses_16,glasses_8,373.44879167029
glasses_16,glasses_9,555.597876165847
glasses_16,glasses_10,343.838624939084
glasses_16,glasses_11,508.393548346161
glasses_16,glasses_12,682.246289839674
glasses_16,glasses_13,337.829838824222
glasses_16,glasses_14,693.035352633616
glasses_16,glasses_15,314.671257028665
glasses_2,glasses_1,121.061967603372
glasses_3,glasses_1,235.688353551889
glasses_3,glasses_2,115.017389989514
glasses_4,glasses_1,291.624758894028
glasses_4,glasses_2,299.954996624494
glasses_4,glasses_3,337.712895815366
glasses_5,glasses_1,99.724620831568
glasses_5,glasses_2,26.4007575648882
glasses_5,glasses_3,139.291062168396
glasses_5,glasses_4,308.525525686287
glasses_6,glasses_1,79.0569415042095
glasses_6,glasses_2,45.18849411078
glasses_6,glasses_3,157.407115468139
glasses_6,glasses_4,278.001798555333
glasses_6,glasses_5,34.4818792991333
glasses_7,glasses_1,76.6615940350838
